Case,NBP,Vfr,V_j,U_w,U_w/V_j,Re_j,Re_w,Re_j/sqrt(Re_w),1/sqrt(Re_w),Lh/d,Lw/d,H/d,Lw/Lh
GW85N73,44.3,44.62616899,18.30155183,56.54866776,3.089829119,560,1730.3,13.46263,0.024,1.662,4.764,0.05336,2.809
GW85N73,43.87,44.37387721,18.19808494,59.69026042,3.280029773,556.8,1826.5,13.02948,0.023,1.502,4.74,0.05052,3.093
GW85N73,44.02,44.46200309,18.23422607,62.83185307,3.445819572,557.9,1922.6,12.72479,0.023,1.455,4.51,0.05054,3.037
GW85N73,35.94,39.51820362,16.20673403,15.70796327,0.969224474,495.9,480.6,22.6198,0.046,2.63,8.624,0.09396,3.213
GW85N73,36.27,39.72870934,16.29306413,18.84955592,1.156906753,498.6,576.8,20.75895,0.042,2.314,7.796,0.08708,3.302
GW85N73,36.29,39.74144143,16.29828566,21.99114858,1.34929213,498.7,672.9,19.22521,0.039,2.16,7.145,0.08146,3.242
GW85N73,35.94,39.51820362,16.20673403,25.13274123,1.550759158,495.9,769,17.88252,0.036,2.006,6.451,0.07851,3.151
GW85N73,35.53,39.25553532,16.09901165,28.27433388,1.756277621,492.6,865.2,16.74774,0.034,1.94,6.096,0.07336,3.079
GW85N73,35.4,39.17198557,16.06474722,31.41592654,1.955581753,491.6,961.3,15.85449,0.032,1.895,5.828,0.06891,3.014
GW85N73,34.9,38.84943608,15.93246708,34.55751919,2.168999881,487.5,1057.4,14.99219,0.031,1.816,5.604,0.06462,3.025
GW85N73,34.9,38.84943608,15.93246708,37.69911184,2.366181688,487.5,1153.6,14.35393,0.029,1.675,5.25,0.06322,3.072
GW85N73,34.9,38.84943608,15.93246708,40.8407045,2.563363496,487.5,1249.7,13.79081,0.028,1.619,4.925,0.06221,2.981
GW65N13,29.68,8.54E-07,13.73621405,15.71,1.143543862,331.7695344,379.3930147,1.70E+01,0.051339937,2.166666667,6.83125,1.01E-01,3.152884615
GW65N13,30.37,8.67E-07,13.9505708,18.85,1.35116736,336.9468735,455.2716176,1.58E+01,0.046866736,1.952674897,6.358490566,9.14E-02,3.256297592
GW65N13,29.68,8.54E-07,13.73621405,18.85,1.372252634,331.7695344,455.2716176,1.55E+01,0.046866736,1.919753086,6.246835443,9.16E-02,3.253978591
GW65N13,30.58,8.71E-07,14.01549341,21.99,1.569059892,338.5149435,531.1502206,1.47E+01,0.043390167,1.852941176,5.80625,8.62E-02,3.133531746
GW65N13,30.58,8.71E-07,14.01549341,25.13,1.793211305,338.5149435,607.0288235,1.37E+01,0.040587784,1.661290323,5.402515723,8.11E-02,3.251999756
GW65N13,30.3,8.66E-07,13.92889742,28.27,2.029904668,336.4233982,682.9074265,1.29E+01,0.03826653,1.606995885,5.0625,7.64E-02,3.150288092
GW65N13,30.58,8.71E-07,14.01549341,31.42,2.241514131,338.5149435,758.7860294,1.23E+01,0.036302818,1.528806584,4.767295597,7.35E-02,3.118311791
GW65N13,30.5,8.70E-07,13.99077819,34.56,2.470021232,337.917999,834.6646324,1.17E+01,0.034613379,1.438016529,4.439490446,7.16E-02,3.087231862
GW65N13,30.22,8.64E-07,13.90410782,37.7,2.711365039,335.8246574,910.5432353,1.11E+01,0.033139787,1.334710744,4.094339623,7.07E-02,3.067585723
GW65N13,30.27,8.65E-07,13.91960382,40.84,2.934042162,336.1989309,986.4218382,1.07E+01,0.031839678,1.290123457,3.925696594,6.82E-02,3.042884442
GW65N13,30.35,8.67E-07,13.94438007,43.98,3.15412352,336.7973494,1062.300441,1.03E+01,0.030681481,1.219512195,3.748447205,6.64E-02,3.073726708
GW65N13,30.09,8.62E-07,13.86377902,47.12,3.399065273,334.8505995,1138.179044,9.93E+00,0.029641127,1.169354839,3.65,6.33E-02,3.12137931
GW65N13,30.19,8.64E-07,13.89480621,50.27,3.617573481,335.5999963,1214.057647,9.63E+00,0.028699897,1.158536585,3.504643963,6.19E-02,3.025061105
GW65N13,30.45,8.69E-07,13.97532044,53.41,3.821527767,337.5446493,1289.93625,9.40E+00,0.02784299,1.143442623,3.37962963,6.08E-02,2.955661755
GW65N13,30.45,8.69E-07,13.97532044,56.55,4.046323518,337.5446493,1365.814853,9.13E+00,0.027058523,1.095918367,3.276923077,5.92E-02,2.990116029
