Case,NBP,Vfr,V_j,U_w,U_w/V_j,Re_j,Re_w,Re_j/sqrt(Re_w),1/sqrt(Re_w),Lh/d,Lw/d,H/d,Lw/Lh
GW65N25,30.02,3.700943734,14.7770256,18.85,1.275598787,702.1,895.6,23.46069,0.033,2.387,7.779,0.07925,3.259
GW65N25,29.96,3.69639275,14.75885455,21.99,1.490030849,701.2,1044.9,21.69367,0.031,2.228,6.91,0.07637,3.102
GW65N25,29.84,3.687284386,14.72248693,25.13,1.707098899,699.5,1194.1,20.24256,0.029,2.108,6.662,0.06914,3.161
GW65N25,29.63,3.671324232,14.65876167,28.27,1.92883509,696.5,1343.4,19.00226,0.027,1.9,6.183,0.06594,3.254
GW65N25,29.56,3.665998378,14.63749675,31.42,2.146263605,695.5,1492.7,18.00098,0.026,1.791,5.516,0.06642,3.08
GW65N25,29.68,3.675126637,14.67394381,34.56,2.355026,697.2,1641.9,17.206,0.025,1.745,5.844,0.05714,3.349
GW65N25,29.56,3.665998378,14.63749675,37.7,2.575516326,695.5,1791.2,16.43257,0.024,1.527,4.914,0.06213,3.219
GW65N25,29.3,3.64619123,14.55841132,40.84,2.805299535,691.7,1940.4,15.7026,0.023,1.539,4.742,0.05912,3.081
GW65N25,29.73,3.678927562,14.68912004,43.98,2.994209118,697.9,2089.7,15.26726,0.022,1.467,4.802,0.05469,3.273
GW65N25,29.58,3.667520346,14.64357362,47.12,3.218059404,695.8,2239,14.70384,0.021,1.475,4.684,0.05217,3.176
GW65N25,29.5,3.66143105,14.61926045,50.27,3.438305421,694.6,2388.2,14.21329,0.02,1.408,4.319,0.05295,3.068
GW65N25,29.96,3.69639275,14.75885455,53.41,3.618646346,701.2,2537.5,13.92059,0.02,1.389,4.125,0.05268,2.97
GW65N25,29.86,3.688803039,14.72855057,56.55,3.839391222,699.8,2686.8,13.5006,0.019,1.461,4.631,0.04423,3.169
GW65N25,29.91,3.692598634,14.74370552,59.69,4.048525003,700.5,2836,13.15404,0.019,1.398,4.306,0.04511,3.08
GW65N25,30,3.699426976,14.77096953,62.83,4.253739265,701.8,2985.3,12.84468,0.018,1.421,4.286,0.04314,3.015
GW65N25,40.6,4.470104547,17.84810958,18.85,1.056109379,848,895.6,28.33648,0.033,2.815,9.329,0.07982,3.314
GW65N25,40.53,4.465233403,17.82866021,21.99,1.233471742,847.1,1044.9,26.2059,0.031,2.594,8.699,0.07329,3.353
GW65N25,40.43,4.458269593,17.8008553,21.99,1.235398423,845.8,1044.9,26.16503,0.031,2.6,8.781,0.07249,3.377
GW65N25,40.83,4.486089306,17.91193309,25.13,1.403128356,851,1194.1,24.62787,0.029,2.395,8.452,0.06631,3.529
GW65N25,40.35,4.452694281,17.77859435,28.27,1.590358232,844.7,1343.4,23.04653,0.027,2.229,7.644,0.06469,3.429
GW65N25,40.2,4.442230356,17.73681429,31.42,1.771227123,842.7,1492.7,21.81247,0.026,2.146,7.341,0.06048,3.42
GW65N25,40.4,4.456179295,17.79250922,34.56,1.94225102,845.4,1641.9,20.86268,0.025,2.067,6.886,0.05879,3.332
GW65N25,40.12,4.436644149,17.71450983,37.7,2.128148744,841.7,1791.2,19.88693,0.024,2.003,6.705,0.05511,3.348
GW65N25,39.99,4.427558479,17.67823282,40.84,2.310225514,839.9,1940.4,19.06762,0.023,1.928,6.398,0.0532,3.319
GW65N25,39.99,4.427558479,17.67823282,43.98,2.487935169,839.9,2089.7,18.37402,0.022,1.865,6.208,0.05091,3.329
GW65N25,39.2,4.372130375,17.45692102,47.12,2.699438792,829.4,2239,17.52877,0.021,1.754,5.951,0.04895,3.393
GW65N25,39.53,4.395328831,17.54954717,50.27,2.864203957,833.8,2388.2,17.06221,0.02,1.76,5.802,0.04732,3.297
GW65N25,39.92,4.42266205,17.65868249,53.41,3.024408821,839,2537.5,16.65571,0.02,1.686,5.505,0.04723,3.265
GW65N25,39.35,4.382683122,17.49905574,56.55,3.23152681,831.4,2686.8,16.04012,0.019,1.673,5.28,0.04609,3.155
GW65N25,39.64,4.40304732,17.58036534,59.69,3.395279862,835.3,2836,15.68485,0.019,1.615,5.241,0.04419,3.245
GW65N25,39.35,4.382683122,17.49905574,62.83,3.590585344,831.4,2985.3,15.217,0.018,1.564,4.983,0.04395,3.185
GW65N25,49.41,5.060010141,20.20346829,15.71,0.777488451,959.9,746.3,35.13745,0.037,3.461,10.645,0.09502,3.075
GW65N25,49.54,5.068370667,20.23684997,18.85,0.931447135,961.5,895.6,32.12896,0.033,3.232,10.319,0.08181,3.193
GW65N25,49.43,5.061297027,20.20860654,21.99,1.088207073,960.2,1044.9,29.70412,0.031,2.948,9.833,0.07349,3.336
GW65N25,49.43,5.061297027,20.20860654,25.13,1.243665227,960.2,1194.1,27.78566,0.029,2.769,9.347,0.06765,3.376
GW65N25,50.01,5.09851369,20.3572042,28.27,1.388910462,967.2,1343.4,26.3892,0.027,2.606,8.819,0.0642,3.384
GW65N25,50.38,5.122151285,20.45158373,31.42,1.536112164,971.7,1492.7,25.15106,0.026,2.54,8.424,0.06077,3.316
GW65N25,50.4,5.123426683,20.45667611,34.56,1.689302749,971.9,1641.9,23.98656,0.025,2.336,7.965,0.05844,3.409
GW65N25,50.48,5.128525908,20.47703615,37.7,1.84104338,972.9,1791.2,22.98824,0.024,2.29,7.57,0.05643,3.306
GW65N25,50.43,5.125339337,20.4643129,40.84,1.995703677,972.3,1940.4,22.07267,0.023,2.226,7.28,0.05413,3.271
GW65N25,50.43,5.125339337,20.4643129,43.98,2.149219345,972.3,2089.7,21.26975,0.022,2.146,7,0.05227,3.262
GW65N25,50.23,5.112578247,20.41336077,47.12,2.308482681,969.9,2239,20.49737,0.021,2.055,6.73,0.05062,3.275
GW65N25,50.1,5.104270837,20.38019117,50.27,2.466389154,968.3,2388.2,19.81425,0.02,1.997,6.558,0.04862,3.283
GW65N25,49.97,5.095953419,20.34698162,53.41,2.624815617,966.7,2537.5,19.19132,0.02,1.865,6.287,0.04765,3.372
GW65N25,49.7,5.078646807,20.27788026,56.55,2.788687331,963.5,2686.8,18.58727,0.019,1.872,5.887,0.0479,3.145
GW65N25,49.59,5.071583589,20.24967844,59.69,2.94771399,962.1,2836,18.06636,0.019,1.77,5.825,0.0458,3.291
GW65N25,49.59,5.071583589,20.24967844,62.83,3.102856832,962.1,2985.3,17.60891,0.018,1.713,5.626,0.04505,3.285
GW65N25,60,5.708274914,22.79184192,25.13,1.102707772,1082.9,1194.1,31.33746,0.029,2.958,10.042,0.07102,3.395
GW65N25,60.33,5.727408868,22.86823944,28.27,1.236401865,1086.5,1343.4,29.64427,0.027,2.907,9.356,0.06798,3.219
GW65N25,60.51,5.73781839,22.90980229,31.42,1.371287545,1088.5,1492.7,28.17414,0.026,2.76,8.904,0.0644,3.226
GW65N25,59.64,5.687327966,22.70820552,34.56,1.521807576,1078.9,1641.9,26.6266,0.025,2.639,8.318,0.06212,3.152
GW65N25,59.74,5.69315426,22.73146859,37.7,1.658454741,1080,1791.2,25.51915,0.024,2.427,8.034,0.05902,3.31
GW65N25,60.36,5.72914512,22.8751719,40.84,1.785372572,1086.9,1940.4,24.673,0.023,2.429,7.528,0.05851,3.1
GW65N25,59.72,5.691989475,22.72681787,43.98,1.935259807,1079.8,2089.7,23.62131,0.022,2.241,7.34,0.05536,3.275
GW65N25,59.85,5.699556345,22.75703066,47.12,2.07073983,1081.2,2239,22.85069,0.021,2.292,7.294,0.05206,3.183
GW65N25,60.07,5.71233902,22.80806897,50.27,2.203846478,1083.7,2388.2,22.1747,0.02,2.192,6.762,0.05277,3.084
GW65N25,59.92,5.703626669,22.77328253,53.41,2.345163682,1082,2537.5,21.47981,0.02,2.061,6.638,0.05052,3.221
GW65N25,60.38,5.730302326,22.87979236,56.55,2.471555112,1087.1,2686.8,20.97226,0.019,2,6.583,0.04833,3.291
GW65N25,59.56,5.682662666,22.68957804,59.69,2.630734706,1078,2836,20.24319,0.019,1.982,6.282,0.04758,3.169
GW65N25,59.85,5.699556345,22.75703066,62.83,2.760986441,1081.2,2985.3,19.78928,0.018,1.924,6.2,0.04594,3.222
GW65N25,70.77,6.299447384,25.15225897,25.13,0.999224016,1195,1194.1,34.58289,0.029,3.237,10.75,0.07321,3.321
GW65N25,70.61,6.291167492,25.11919925,28.27,1.125606497,1193.5,1343.4,32.56221,0.027,3.073,10.164,0.06873,3.308
GW65N25,70.74,6.297896059,25.14606489,31.42,1.249337687,1194.8,1492.7,30.92426,0.026,2.872,9.712,0.06481,3.381
GW65N25,70.89,6.305647354,25.17701405,34.56,1.372582115,1196.2,1641.9,29.52142,0.025,2.874,8.959,0.06395,3.118
GW65N25,70.92,6.307196015,25.18319749,37.7,1.496994647,1196.5,1791.2,28.27155,0.024,2.77,8.456,0.06212,3.052
GW65N25,70.33,6.276641206,25.0611991,40.84,1.629638883,1190.7,1940.4,27.03084,0.023,2.555,8.178,0.05901,3.201
GW65N25,70.74,6.297896059,25.14606489,43.98,1.749072761,1194.8,2089.7,26.13577,0.022,2.525,7.911,0.05683,3.133
GW65N25,70.1,6.26467417,25.01341745,47.12,1.883944483,1188.5,2239,25.11636,0.021,2.39,7.685,0.05431,3.216
GW65N25,70.03,6.261025811,24.99885038,50.27,2.01071176,1187.8,2388.2,24.30465,0.02,2.333,7.375,0.05303,3.161
GW65N25,70,6.25946134,24.99260381,53.41,2.136915206,1187.5,2537.5,23.57308,0.02,2.244,7.115,0.05172,3.171
GW65N25,69.77,6.24744936,24.94464271,56.55,2.266966436,1185.2,2686.8,22.86496,0.019,2.301,6.923,0.05011,3.009
GW65N25,69.72,6.244833915,24.93419983,59.69,2.393911207,1184.7,2836,22.2458,0.019,2.067,6.827,0.04812,3.303
GW65N25,70.13,6.266236864,25.01965693,62.83,2.511299545,1188.7,2985.3,21.75683,0.018,2.124,6.558,0.04775,3.087
GW80N25,29.8,3.362959785,13.42753265,15.70796327,1.169832439,159.9,187.1,11.69224,0.073,1.521,5.171,0.12984,3.399
GW80N25,29.5,3.345038365,13.3559765,18.84955592,1.411319937,159.1,224.5,10.61663,0.067,1.233,4.281,0.13,3.472
GW80N25,30.5,3.404609423,13.59383017,28.27433388,2.079938731,161.9,336.8,8.82282,0.054,1.056,3.473,0.10874,3.29
GW80N25,30.17,3.385003658,13.51554882,34.55751919,2.556871323,161,411.6,7.93458,0.049,0.821,2.401,0.12792,2.925
GW80N25,29.99,3.374287767,13.4727627,37.69911184,2.798172333,160.5,449,7.57273,0.047,0.806,2.256,0.12443,2.798
GW80N25,29.91,3.369520191,13.45372686,40.8407045,3.03564246,160.2,486.4,7.26537,0.045,0.778,2.403,0.10765,3.09
GW80N25,29.99,3.374287767,13.4727627,43.98229715,3.264534388,160.5,523.8,7.01099,0.044,0.762,2.29,0.10507,3.006
GW80N25,30.6,3.410540356,13.61751104,47.1238898,3.460536193,162.2,561.3,6.84603,0.042,0.731,2.341,0.09695,3.202
GW80N25,30.47,3.402829218,13.58672222,50.26548246,3.699603307,161.8,598.7,6.61365,0.041,0.78,2.237,0.0949,2.869
GW80N25,30.35,3.395704127,13.55827335,53.40707511,3.939076439,161.5,636.1,6.40275,0.04,0.563,1.81,0.11015,3.216
GW80N25,30.02,3.376074821,13.479898,56.54866776,4.195036769,160.5,673.5,6.18639,0.039,0.588,1.797,0.1042,3.053
GW80N25,29.96,3.372500283,13.46562569,59.69026042,4.432787736,160.4,710.9,6.01501,0.038,0.536,1.711,0.10355,3.191
GW80N25,29.95,3.37190436,13.4632463,62.83185307,4.666917001,160.4,748.3,5.86167,0.037,0.545,1.661,0.10131,3.045
GW80N25,40.12,3.954168078,15.78809274,15.70796327,0.994924689,188,187.1,13.74774,0.073,1.856,6.667,0.11841,3.592
GW80N25,40.04,3.949767047,15.77052043,18.84955592,1.195239942,187.8,224.5,12.53594,0.067,1.692,5.743,0.11441,3.394
GW80N25,39.89,3.941507735,15.73754288,21.99114858,1.39736862,187.4,261.9,11.58176,0.062,1.514,4.938,0.11382,3.261
GW80N25,39.84,3.93875249,15.72654181,25.13274123,1.598109841,187.3,299.3,10.82617,0.058,1.425,4.615,0.10648,3.24
GW80N25,39.66,3.928824727,15.68690251,28.27433388,1.802416625,186.8,336.8,10.18128,0.054,1.24,4.105,0.10615,3.309
GW80N25,39.71,3.931583834,15.697919,31.41592654,2.001279694,187,374.2,9.6656,0.052,1.159,3.839,0.10222,3.313
GW80N25,39.89,3.941507735,15.73754288,34.55751919,2.195864975,187.4,411.6,9.23905,0.049,1.197,3.738,0.09569,3.124
GW80N25,39.51,3.920540961,15.65382732,37.69911184,2.408299968,186.4,449,8.79866,0.047,1.129,3.497,0.09327,3.098
GW80N25,39.64,3.927720784,15.68249472,40.8407045,2.604222429,186.8,486.4,8.46896,0.045,1.062,3.32,0.09085,3.126
GW80N25,39.69,3.93048032,15.69351292,43.98229715,2.802578197,186.9,523.8,8.16663,0.044,0.99,3.128,0.08959,3.158
GW80N25,39.61,3.926064547,15.67588174,47.1238898,3.00613966,186.7,561.3,7.88085,0.042,0.983,2.994,0.08726,3.045
GW80N25,39.71,3.931583834,15.697919,50.26548246,3.202047511,187,598.7,7.64133,0.041,0.95,2.93,0.08371,3.085
GW80N25,39.61,3.926064547,15.67588174,53.40707511,3.406958281,186.7,636.1,7.40277,0.04,0.9,2.738,0.08418,3.043
GW80N25,39.56,3.923303292,15.66485668,56.54866776,3.609906488,186.6,673.5,7.18914,0.039,0.855,2.64,0.08243,3.086
GW80N25,39.33,3.91058766,15.61408606,59.69026042,3.822846895,186,710.9,6.97471,0.038,0.821,2.607,0.07881,3.176
GW80N25,40.6,3.980516917,15.89329766,62.83185307,3.953355334,189.3,748.3,6.91967,0.037,0.84,2.608,0.07617,3.106
GW80N25,49.79,4.466735448,17.83465754,15.70796327,0.88075497,212.4,187.1,15.52982,0.073,1.889,6.341,0.14063,3.356
GW80N25,49.82,4.468268047,17.84077686,18.84955592,1.056543449,212.5,224.5,14.18158,0.067,1.707,5.905,0.12589,3.46
GW80N25,49.38,4.445755593,17.75088975,21.99114858,1.238875847,211.4,261.9,13.06345,0.062,1.577,5.376,0.11791,3.41
GW80N25,50.63,4.509519429,18.00548423,25.13274123,1.395838118,214.5,299.3,12.395,0.058,1.495,5.012,0.11227,3.352
GW80N25,50.56,4.505964268,17.99128928,28.27433388,1.571556848,214.3,336.8,11.6769,0.054,1.37,4.699,0.10635,3.43
GW80N25,50.43,4.499356933,17.9649077,31.41592654,1.748738544,214,374.2,11.06144,0.052,1.394,4.54,0.09893,3.256
GW80N25,50.3,4.492743229,17.93850068,34.55751919,1.926444121,213.7,411.6,10.53117,0.049,1.281,4.759,0.08567,3.715
GW80N25,50.3,4.492743229,17.93850068,37.69911184,2.101575405,213.7,449,10.08282,0.047,1.176,3.936,0.09494,3.346
GW80N25,50.05,4.480006626,17.88764633,40.8407045,2.283179338,213,486.4,9.6598,0.045,1.181,3.782,0.09096,3.202
GW80N25,50.23,4.489179362,17.92427097,43.98229715,2.453784436,213.5,523.8,9.32748,0.044,1.042,3.493,0.09163,3.351
GW80N25,50.05,4.480006626,17.88764633,47.1238898,2.634437697,213,561.3,8.99278,0.042,1.074,3.442,0.08662,3.204
GW80N25,49.79,4.466735448,17.83465754,50.26548246,2.818415905,212.4,598.7,8.68143,0.041,1.014,3.435,0.08112,3.387
GW80N25,49.69,4.461624313,17.81424994,50.26548246,2.821644618,212.2,598.7,8.6715,0.041,0.998,3.302,0.0843,3.31
GW80N25,49.69,4.461624313,17.81424994,53.40707511,2.997997406,212.2,636.1,8.41259,0.04,1.061,3.227,0.08119,3.042
GW80N25,50.02,4.478476645,17.88153746,56.54866776,3.16240524,213,673.5,8.20645,0.039,0.978,3.035,0.08183,3.102
GW80N25,50.05,4.480006626,17.88764633,56.54866776,3.161325237,213,673.5,8.20925,0.039,0.968,2.908,0.08544,3.003
GW80N25,49.84,4.46928959,17.84485564,59.69026042,3.344956194,212.5,710.9,7.97118,0.038,0.902,2.897,0.08105,3.213
GW80N25,49.77,4.465713525,17.83057723,62.83185307,3.52382608,212.4,748.3,7.76313,0.037,0.9,2.899,0.07688,3.221
GW80N25,60.76,5.005429756,19.98554124,15.70796327,0.785966368,238,187.1,17.40274,0.073,2.088,7.183,0.13912,3.441
GW80N25,60.23,4.980358224,19.88543632,18.84955592,0.947907585,236.8,224.5,15.80688,0.067,1.799,6.265,0.13225,3.482
GW80N25,60.38,4.987463283,19.91380521,21.99114858,1.104316746,237.2,261.9,14.6552,0.062,1.675,5.635,0.12621,3.364
GW80N25,60.07,4.972771336,19.85514361,25.13274123,1.265805059,236.5,299.3,13.6683,0.058,1.534,5.367,0.11561,3.499
GW80N25,59.9,4.964701019,19.82292067,28.27433388,1.426345509,236.1,336.8,12.86569,0.054,1.449,5.073,0.10853,3.5
GW80N25,59.49,4.945197966,19.74504942,31.41592654,1.591078648,235.2,374.2,12.15752,0.052,1.445,4.917,0.1004,3.403
GW80N25,58.98,4.920860016,19.64787353,34.55751919,1.758842713,234,411.6,11.53469,0.049,1.268,4.4,0.10149,3.469
GW80N25,59.95,4.967075632,19.83240196,37.69911184,1.900884821,236.2,449,11.14734,0.047,1.205,4.267,0.09684,3.541
GW80N25,60.13,4.975617407,19.86650732,40.8407045,2.055756648,236.6,486.4,10.72844,0.045,1.221,4.11,0.09295,3.365
GW80N25,60.13,4.975617407,19.86650732,43.98229715,2.213891775,236.6,523.8,10.33818,0.044,1.132,3.807,0.09318,3.364
GW80N25,60.02,4.970398703,19.84567023,47.1238898,2.374517427,236.4,561.3,9.97716,0.042,1.131,3.787,0.08735,3.349
GW80N25,59.62,4.951387897,19.76976441,50.26548246,2.542543322,235.5,598.7,9.62339,0.041,1.125,3.59,0.08604,3.191
GW80N25,59.85,4.962325579,19.81343608,53.40707511,2.695497888,236,636.1,9.35668,0.04,1.152,3.665,0.07951,3.182
GW80N25,59.92,4.965650963,19.82671358,56.54866776,2.85214529,236.1,673.5,9.09916,0.039,1.002,3.337,0.08251,3.329
GW80N25,60.02,4.970398703,19.84567023,59.69026042,3.007722074,236.4,710.9,8.86494,0.038,0.975,3.276,0.07971,3.36
GW80N25,59.95,4.967075632,19.83240196,62.83185307,3.168141368,236.2,748.3,8.63469,0.037,0.958,3.204,0.07738,3.345
GW80N25,70.38,5.445293571,21.7418173,15.70796327,0.722477015,259,187.1,18.93204,0.073,1.919,6.975,0.15585,3.635
GW80N25,70.23,5.43864465,21.71526967,18.84955592,0.86803232,258.6,224.5,17.26141,0.067,1.807,6.313,0.14332,3.494
GW80N25,69.92,5.424883564,21.66032479,21.99114858,1.015273261,258,261.9,15.94052,0.062,1.664,5.843,0.13239,3.512
GW80N25,69.8,5.419549437,21.63902683,25.13274123,1.161454321,257.7,299.3,14.89633,0.058,1.551,5.574,0.12132,3.595
GW80N25,69.72,5.415991097,21.62481919,28.27433388,1.30749458,257.6,336.8,14.03518,0.054,1.483,5.454,0.11014,3.676
GW80N25,69.87,5.422661505,21.65145261,31.41592654,1.450984703,257.9,374.2,13.33134,0.052,1.381,5.08,0.10654,3.678
GW80N25,69.85,5.421772483,21.64790295,34.55751919,1.596344887,257.8,411.6,12.70885,0.049,1.381,5.073,0.09698,3.673
